x,y,pet,t,ntzg,hour
8.481260418351736,49.46811192895744,42.7919,33.5159,22,14
8.481259943493177,49.468156901530875,31.9432,31.6542,24,14
8.481259468633429,49.46820187410396,42.0921,33.1911,22,14
8.481258993772494,49.46824684667669,42.4591,33.5661,22,14
8.48125851891037,49.46829181924907,42.3721,33.6232,22,14
8.481258044047058,49.46833679182109,42.1524,33.6174,22,14
8.481257569182558,49.46838176439275,41.9723,33.6043,22,14
8.48125709431687,49.46842673696406,41.7276,33.5816,22,14
8.481256619449995,49.468471709535,41.6049,33.6669,22,14
8.48125614458193,49.46851668210561,41.9327,33.7167,9,14
8.481255669712679,49.46856165467586,41.8598,33.8938,22,14
8.48125519484224,49.468606627245734,41.9412,33.9992,22,14
8.481254719970611,49.46865159981528,41.9309,34.0359,22,14
8.481254245097794,49.46869657238445,41.9041,34.0261,22,14
8.48125377022379,49.46874154495328,41.8136,33.9626,22,14
8.481253295348598,49.46878651752174,41.6764,33.8814,22,14
8.481252820472216,49.468831490089855,41.6269,33.8959,22,14
8.481252345594648,49.468876462657626,41.9062,33.9322,9,14
8.48125187071589,49.468921435225035,41.9431,33.9171,9,14
8.481251395835947,49.468966407792074,43.4331,34.8811,22,14
8.481250920954812,49.469011380358765,45.7,35.295,20,14
8.481250446072492,49.469056352925115,44.7054,35.2934,20,14
8.481249971188982,49.469101325491096,43.2313,34.5953,9,14
8.481249496304285,49.469146298056735,42.1111,34.1091,9,14
8.4812490214184,49.469191270622005,41.746,34.204,22,14
8.481248546531326,49.46923624318693,42.0604,34.3824,22,14
8.481248071643064,49.46928121575149,43.2584,34.7354,22,14
8.481247596753613,49.4693261883157,45.4601,35.2852,20,14
8.481247121862976,49.469371160879554,45.7104,35.2904,20,14
8.48124664697115,49.469416133443055,45.7108,35.2908,20,14
8.481246172078135,49.46946110600621,45.7108,35.2908,20,14
8.481245697183933,49.469506078569,45.7093,35.2903,20,14
8.481245222288543,49.46955105113143,45.5402,35.2892,20,14
8.481244747391964,49.46959602369351,36.1361,33.7981,22,14
8.481244272494195,49.469640996255244,44.2822,35.2773,22,14
8.48124379759524,49.46968596881661,45.6841,35.2831,20,14
8.481243322695097,49.469730941377634,45.134,35.28,20,14
8.481242847793766,49.4697759139383,35.8684,33.6984,22,14
8.481242372891245,49.469820886498596,35.4954,33.5424,22,14
8.481241897987537,49.46986585905856,43.0678,34.6708,22,14
8.481241423082642,49.46991083161815,42.4678,34.0678,22,14
8.481240948176556,49.46995580417739,42.8331,34.1342,22,14
8.481240473269283,49.47000077673628,43.0705,34.4505,22,14
8.481239998360822,49.470045749294805,43.7311,35.0111,22,14
8.481239523451173,49.47009072185298,43.8428,35.1238,22,14
8.481239048540335,49.47013569441081,43.8654,35.1484,22,14
8.48123857362831,49.47018066696827,43.8141,35.1531,22,14
8.481329424232788,49.46811223841171,44.5996,35.2307,20,14
8.48132894943739,49.46815721098564,42.7725,33.2695,9,14
8.481328474640804,49.46820218355921,33.8663,31.9984,9,14
8.48132799984303,49.46824715613242,42.8271,33.6691,22,14
8.481327525044069,49.46829212870529,42.6251,33.6542,22,14
8.48132705024392,49.468337101277804,42.3223,33.6223,22,14
8.481326575442584,49.46838207384995,42.1376,33.6196,22,14
8.481326100640057,49.468427046421745,41.9082,33.6552,22,14
8.481325625836345,49.46847201899319,41.9195,33.9105,22,14
8.481325151031443,49.46851699156427,42.3074,34.2834,22,14
8.481324676225356,49.46856196413501,42.4934,34.4384,22,14
8.481324201418078,49.46860693670538,42.4841,34.4991,22,14
8.481323726609613,49.46865190927541,42.4607,34.5087,22,14
8.48132325179996,49.46869688184508,42.3743,34.4644,22,14
8.48132277698912,49.46874185441439,42.2669,34.43,22,14
8.481322302177091,49.46878682698335,42.2692,34.1312,9,14
8.481321827363875,49.46883179955196,42.4228,34.1738,9,14
8.48132135254947,49.4688767721202,43.446,34.625,22,14
8.481320877733877,49.468921744688096,45.7122,35.2912,20,14
8.481320402917097,49.46896671725563,45.7017,35.2967,20,14
8.481319928099127,49.469011689822814,45.6978,35.2948,20,14
8.481319453279973,49.46905666238964,45.7155,35.2935,20,14
8.481318978459628,49.46910163495611,44.8455,35.2935,20,14
8.481318503638096,49.46914660752224,43.1397,34.3677,9,14
8.481318028815377,49.46919158008801,42.1219,34.0969,9,14
8.481317553991467,49.46923655265341,41.8151,34.2891,22,14
8.48131707916637,49.46928152521846,42.0722,34.5422,22,14
8.481316604340087,49.46932649778317,43.4716,34.9297,22,14
8.481316129512614,49.46937147034751,45.7096,35.2906,20,14
8.481315654683954,49.4694164429115,45.7109,35.2909,20,14
8.481315179854105,49.46946141547513,45.7095,35.2905,20,14
8.481314705023069,49.46950638803841,45.7063,35.2893,20,14
8.481314230190845,49.469551360601336,45.6,35.287,20,14
8.481313755357432,49.46959633316391,35.9625,33.7176,22,14
8.481313280522834,49.46964130572612,44.0507,35.1757,22,14
8.481312805687045,49.46968627828799,44.9298,35.2729,22,14
8.481312330850068,49.4697312508495,36.077,33.738,22,14
8.481311856011903,49.46977622341063,35.9849,33.4729,9,14
8.481311381172551,49.46982119597144,43.2963,34.8813,22,14
8.481310906332011,49.46986616853188,42.2901,33.9071,22,14
8.481310431490282,49.469911141091956,33.3503,33.1323,24,14
8.481309956647365,49.46995611365168,33.302,33.0981,25,14
8.481309481803262,49.47000108621106,33.4931,33.2781,25,14
8.481309006957968,49.470046058770095,45.6374,35.2224,20,14
8.481308532111488,49.47009103132876,45.5278,35.2188,20,14
8.481308057263819,49.47013600388706,44.5391,35.2502,22,14
