x,y,pet,t,ntzg,hour
8.464241535642218,49.48467497478407,45.7813,35.4773,20,14
8.464241044918214,49.48471994710497,44.2783,35.4063,22,14
8.464240554192983,49.48476491942553,44.6071,35.0661,22,14
8.464240063466523,49.48480989174572,45.8537,35.4727,20,14
8.464239572738837,49.48485486406556,45.8522,35.4692,20,14
8.46423908200992,49.48489983638505,45.8503,35.4663,20,14
8.464238591279777,49.484944808704185,45.8467,35.4647,20,14
8.464238100548405,49.48498978102295,44.4834,35.4634,20,14
8.464237609815806,49.485034753341374,35.6013,33.9283,22,14
8.464237119081977,49.48507972565944,43.23,35.414,22,14
8.46423662834692,49.485124697977156,45.8511,35.4671,20,14
8.464236137610637,49.48516967029451,45.8521,35.4701,20,14
8.464235646873124,49.48521464261151,45.8531,35.4721,20,14
8.464235156134384,49.485259614928154,45.8534,35.4724,20,14
8.464234665394414,49.485304587244435,45.8523,35.4713,20,14
8.464234174653217,49.485349559560376,45.6992,35.4692,20,14
8.464233683910793,49.48539453187596,43.5573,34.8413,22,14
8.46423319316714,49.48543950419118,42.8337,34.0297,22,14
8.46423270242226,49.48548447650604,42.0287,34.2267,22,14
8.46423221167615,49.48552944882057,41.5935,33.9695,22,14
8.464231720928812,49.48557442113473,41.5449,34.2179,22,14
8.464231230180246,49.48561939344852,41.4996,34.2226,22,14
8.464230739430453,49.48566436576198,41.4156,33.9936,22,14
8.464230248679431,49.48570933807507,33.4028,33.2508,24,14
8.464310564608954,49.484675294469405,45.8531,35.4722,20,14
8.46431007394817,49.48472026679081,45.8569,35.4739,20,14
8.464309583286157,49.48476523911187,45.8572,35.4733,20,14
8.464309092622917,49.48481021143257,45.8527,35.4707,20,14
8.464308601958448,49.48485518375291,45.8514,35.4675,20,14
8.464308111292754,49.484900156072904,45.8466,35.4647,20,14
8.46430762062583,49.48494512839254,45.7514,35.4625,20,14
8.464307129957678,49.48499010071182,35.8984,33.9835,22,14
8.464306639288298,49.48503507303075,35.5777,33.9327,22,14
8.464306148617691,49.48508004534931,44.0803,35.4693,22,14
8.464305657945856,49.485125017667535,45.8514,35.4684,20,14
8.464305167272792,49.48516998998539,45.8531,35.4721,20,14
8.464304676598502,49.48521496230289,45.7824,35.4745,20,14
8.46430418592298,49.48525993462005,45.7289,35.4749,20,14
8.464303695246233,49.48530490693684,45.8566,35.4737,20,14
8.464303204568258,49.48534987925328,45.8528,35.4718,20,14
8.464302713889055,49.48539485156936,45.8521,35.4691,20,14
8.464302223208623,49.48543982388509,45.6328,35.4308,20,14
8.464301732526964,49.48548479620046,43.3023,34.3893,22,14
8.464301241844078,49.48552976851549,33.7554,33.5204,24,14
