x,y,pet
410861,5477422,35.72
410862,5477422,34.91
410863,5477422,34.11
410864,5477422,33.30
410865,5477422,32.88
410866,5477422,32.83
410867,5477422,32.78
410868,5477422,32.73
410869,5477422,32.68
410870,5477422,32.64
410871,5477422,32.59
410872,5477422,32.54
410873,5477422,32.49
410874,5477422,32.44
410875,5477422,32.85
410876,5477422,33.71
410877,5477422,34.58
410878,5477422,35.44
410879,5477422,36.31
410880,5477422,37.17
410881,5477422,38.04
410882,5477422,38.90
410883,5477422,39.76
410884,5477422,40.63
410885,5477422,41.06
410886,5477422,41.06
410887,5477422,41.06
410888,5477422,41.06
410889,5477422,41.06
410570,5477423,null
410571,5477423,null
410572,5477423,null
410573,5477423,null
410574,5477423,null
410575,5477423,null
410576,5477423,null
410577,5477423,null
410578,5477423,null
410579,5477423,null
410580,5477423,null
410581,5477423,null
410582,5477423,null
410583,5477423,null
410584,5477423,null
410585,5477423,null
410586,5477423,null
410587,5477423,null
410588,5477423,null
410589,5477423,null
410590,5477423,null
410591,5477423,null
410592,5477423,null
410593,5477423,null
410594,5477423,null
410595,5477423,null
410596,5477423,null
410597,5477423,null
410598,5477423,null
410599,5477423,null
410600,5477423,null
410601,5477423,null
410602,5477423,null
410603,5477423,null
410604,5477423,null
410605,5477423,43.31
410606,5477423,43.31
410607,5477423,43.31
410608,5477423,43.31
410609,5477423,43.31
410610,5477423,43.31
410611,5477423,43.31
410612,5477423,43.31
410613,5477423,43.31
410614,5477423,43.31
410615,5477423,null
410616,5477423,null
410617,5477423,null
410618,5477423,null
410619,5477423,null
410620,5477423,null
410621,5477423,null
410622,5477423,null
410623,5477423,null
410624,5477423,null
410625,5477423,null
410626,5477423,null
410627,5477423,null
410628,5477423,null
410629,5477423,null
410630,5477423,null
410631,5477423,null
410632,5477423,null
410633,5477423,null
410634,5477423,null
410635,5477423,null
410636,5477423,null
410637,5477423,null
410638,5477423,null
410639,5477423,null
410640,5477423,null
410641,5477423,null
410642,5477423,null
410643,5477423,null
410644,5477423,null
410645,5477423,null
410646,5477423,null
410647,5477423,null
410648,5477423,null
410649,5477423,null
410650,5477423,null
410651,5477423,null
410652,5477423,null
410653,5477423,null
410654,5477423,null
410655,5477423,null
410656,5477423,null
410657,5477423,null
410658,5477423,null
410659,5477423,null
410660,5477423,null
410661,5477423,null
410662,5477423,null
410663,5477423,null
410664,5477423,null
410665,5477423,42.98
410666,5477423,42.98
410667,5477423,42.98
410668,5477423,42.98
410669,5477423,42.98
410670,5477423,42.98
410671,5477423,42.98
410672,5477423,42.98
410673,5477423,42.98
410674,5477423,42.98
410675,5477423,null
410676,5477423,null
410677,5477423,null
410678,5477423,null
410679,5477423,null
410680,5477423,null
410681,5477423,null
410682,5477423,null
410683,5477423,null
410684,5477423,null
410685,5477423,42.76
410686,5477423,42.76
410687,5477423,42.76
410688,5477423,42.76
410689,5477423,42.76
410690,5477423,42.76
410691,5477423,42.76
410692,5477423,42.76
410693,5477423,42.76
410694,5477423,42.76
410695,5477423,42.78
410696,5477423,42.83
410697,5477423,42.87
410698,5477423,42.92
410699,5477423,42.96
410700,5477423,43.01
410701,5477423,43.05
410702,5477423,43.10
410703,5477423,43.14
410704,5477423,43.19
410705,5477423,null
410706,5477423,null
410707,5477423,null
410708,5477423,null
410709,5477423,null
410710,5477423,null
410711,5477423,null
410712,5477423,null
410713,5477423,null
410714,5477423,null
410715,5477423,null
410716,5477423,null
410717,5477423,null
410718,5477423,null
410719,5477423,null
410720,5477423,null
410721,5477423,null
410722,5477423,null
410723,5477423,null
410724,5477423,null
410725,5477423,null
410726,5477423,null
410727,5477423,null
410728,5477423,null
410729,5477423,null
410730,5477423,null
410731,5477423,null
410732,5477423,null
410733,5477423,null
410734,5477423,null
410735,5477423,null
410736,5477423,null
410737,5477423,null
410738,5477423,null
410739,5477423,null
410740,5477423,null
410741,5477423,null
410742,5477423,null
410743,5477423,null
410744,5477423,null
